TransmChainNb,Generation,TrialOrder,TrialName,TestingPhase,Name,Sex,AgeMonth,Square1,Square2,Square3,Square4,Square5,Square6,Square7,Square8,Square9,Square10,Square11,Square12,Square13,Square14,Square15,Square16,Touch1,Touch2,Touch3,Touch4,RT1,RT2,RT3,RT4
1,1,1,1,Random,DORA,female,52,Red,Red,White,White,White,White,White,White,White,White,Red,Red,White,White,White,White,1,2,5,12,328.13,558.59,718.75,1089.84
1,1,2,1,Random,DORA,female,52,White,White,White,Red,White,White,Red,White,White,White,Red,White,Red,White,White,White,4,7,11,16,140.63,332.03,511.72,839.84
1,1,3,1,Random,DORA,female,52,White,White,White,White,White,Red,Red,White,White,White,White,Red,White,White,Red,White,6,7,10,12,109.38,308.59,550.78,871.09
1,1,4,1,Random,DORA,female,52,White,Red,Red,White,White,Red,Red,White,White,White,White,White,White,White,White,White,2,3,6,7,230.47,441.41,609.38,839.84
1,1,5,1,Random,DORA,female,52,Red,White,White,Red,Red,White,White,White,White,White,White,Red,White,White,White,White,1,5,4,8,148.44,890.63,1199.22,1390.63
1,1,6,1,Random,DORA,female,52,White,White,White,White,White,White,White,White,Red,Red,White,White,White,White,Red,Red,10,14,9,16,609.38,1078.13,1339.84,1691.41
1,1,7,1,Random,DORA,female,52,White,Red,Red,Red,White,White,White,White,White,White,Red,White,White,White,White,White,2,3,6,4,121.09,339.84,500.00,710.94
1,1,8,1,Random,DORA,female,52,White,Red,White,White,White,White,White,White,White,Red,Red,White,Red,White,White,White,11,10,15,14,218.75,468.75,710.94,1109.38
1,1,9,1,Random,DORA,female,52,White,White,White,White,Red,White,White,White,White,Red,Red,Red,White,White,White,White,5,10,9,12,113.28,281.25,453.13,691.41
1,1,10,1,Random,DORA,female,52,White,White,Red,White,White,White,Red,White,Red,White,White,White,Red,White,White,White,3,7,9,14,50.78,218.75,441.41,667.97
1,1,11,1,Random,DORA,female,52,White,Red,White,White,White,Red,White,White,White,White,Red,White,Red,White,White,White,6,11,2,10,199.22,398.44,617.19,859.38
1,1,12,1,Random,DORA,female,52,Red,White,Red,White,White,White,White,White,White,White,White,Red,White,Red,White,White,1,5,3,8,261.72,421.88,691.41,953.13
1,1,13,1,Random,DORA,female,52,White,White,White,Red,White,White,Red,White,Red,White,White,White,White,White,Red,White,7,10,9,8,636.72,839.84,1039.06,1339.84
1,1,14,1,Random,DORA,female,52,White,White,Red,White,White,White,Red,White,White,Red,White,Red,White,White,White,White,3,10,7,11,58.59,480.47,718.75,949.22
1,1,15,1,Random,DORA,female,52,Red,White,White,White,White,Red,White,White,White,White,Red,White,White,White,White,Red,1,6,5,11,78.13,269.53,468.75,699.22
1,1,16,1,Random,DORA,female,52,White,White,White,White,Red,White,White,White,Red,White,White,Red,White,White,Red,White,5,9,13,12,199.22,441.41,902.34,1230.47
1,1,17,1,Random,DORA,female,52,White,White,White,White,White,White,Red,Red,White,White,White,Red,White,White,White,Red,7,6,10,8,472.66,859.38,1082.03,1332.03
1,1,18,1,Random,DORA,female,52,White,White,White,White,Red,Red,White,White,White,White,Red,White,White,White,White,Red,5,6,11,9,281.25,531.25,1281.25,1691.41
1,1,19,1,Random,DORA,female,52,Red,White,Red,White,Red,White,White,White,White,White,Red,White,White,White,White,White,1,5,3,9,281.25,980.47,1261.72,1582.03
1,1,20,1,Random,DORA,female,52,White,White,Red,White,White,White,White,White,White,White,White,White,Red,White,Red,Red,9,3,7,16,519.53,828.13,1050.78,1410.16
1,1,21,1,Random,DORA,female,52,White,White,White,White,White,White,Red,White,Red,Red,White,White,White,White,White,Red,7,10,14,16,386.72,546.88,937.50,1667.97
